CLG. | SFAT Number,SmashTag,Path
7,SRN | Soulrifle211,CLG. | SFAT <- SANS | Blues Clues <- Young <- CowCowCowCowCow <- Jakespeare <- Talen <- jtetter
7,hHerb,CLG. | SFAT <- bobby big ballz <- cliché <- Megaman <- moscow mich <- Pawn <- pointykitty
7,Luppi,CLG. | SFAT <- SANS | Blues Clues <- DD <- ANTIFA CEO | Quiggles <- Alex18+ <- Strazz <- Doctor Dank
7,100 Days Of Solitude,CLG. | SFAT <- bobby big ballz <- cliché <- Megaman <- moscow mich <- Pawn <- SDJ | SudoJoe
7,Schweppes,CLG. | SFAT <- SANS | Blues Clues <- DD <- ANTIFA CEO | Quiggles <- snacklepackle <- Stone <- Bobakanoosh
7,Rozu,CLG. | SFAT <- bobby big ballz <- cliché <- Megaman <- moscow mich <- Pawn <- markrevival
7,Frozone,CLG. | SFAT <- bobby big ballz <- cliché <- Megaman <- moscow mich <- Pawn <- markrevival
7,K.H.D | Reign,CLG. | SFAT <- bobby big ballz <- cliché <- Megaman <- moscow mich <- Pawn <- WOMB#619 | Wombat
7,Blue Jay,CLG. | SFAT <- SANS | Blues Clues <- RedX <- Dandy <- YBBT | leroydankins <- LanTurN <- RB | V$
7,3OutChange,CLG. | SFAT <- bobby big ballz <- cliché <- Megaman <- moscow mich <- Pawn <- pointykitty
7,Lust,CLG. | SFAT <- SANS | Blues Clues <- DD <- ANTIFA CEO | Quiggles <- snacklepackle <- Stone <- Bobakanoosh
7,Hamburglar,CLG. | SFAT <- SANS | Blues Clues <- Young <- CowCowCowCowCow <- Jakespeare <- Talen <- jtetter
7,punished | gelp,CLG. | SFAT <- SANS | Blues Clues <- RedX <- Dandy <- YBBT | leroydankins <- LanTurN <- adamaggy
7,kippu,CLG. | SFAT <- bobby big ballz <- cliché <- Megaman <- moscow mich <- Pawn <- pointykitty
7,saacdaddy,CLG. | SFAT <- bobby big ballz <- cliché <- Megaman <- moscow mich <- Pawn <- Watermelons
7,Troy,CLG. | SFAT <- bobby big ballz <- cliché <- Megaman <- moscow mich <- Pawn <- Fraud
7,radvillainy,CLG. | SFAT <- SANS | Blues Clues <- Young <- CowCowCowCowCow <- Maruf <- Arctic <- STP
7,Nico,CLG. | SFAT <- bobby big ballz <- cliché <- Megaman <- moscow mich <- Pawn <- pointykitty
7,420 | Yolk,CLG. | SFAT <- bobby big ballz <- cliché <- Megaman <- moscow mich <- Pawn <- WOMB#619 | Wombat
8,BEBO,CLG. | SFAT <- bobby big ballz <- cliché <- Megaman <- moscow mich <- Pawn <- LewdCelebs4Free <- ImYourDade
8,peenlover,CLG. | SFAT <- SANS | Blues Clues <- Young <- CowCowCowCowCow <- Maruf <- Arctic <- STP <- CAPTwheatroll
8,Bug Juice | Snorlaxative,CLG. | SFAT <- SANS | Blues Clues <- Young <- CowCowCowCowCow <- Maruf <- Arctic <- STP <- CAPTwheatroll
8,lavalamp,CLG. | SFAT <- bobby big ballz <- cliché <- Megaman <- moscow mich <- Pawn <- LewdCelebs4Free <- ImYourDade
8,Spi,CLG. | SFAT <- SANS | Blues Clues <- Young <- CowCowCowCowCow <- Maruf <- Arctic <- STP <- ASAPferq
