SmasherID,SmashTag,Coast,Wins,Losses,LimitLadderWins,Prospect,Rookie,Pro,AllStar,HallOfFame,Floated,Placement,PlacePoints,Points,Rank
63772,Fern,WC,3,3,0,1,0,0,0,0,0,-1,0.0,4.0,85.0
65777,bobby big ballz,NOTAV,2,2,0,0,0,0,0,0,1,5,95.0,107.0,5.0
68261,Azel,WC,11,2,0,0,0,0,1,0,0,9,45.0,71.0,10.0
69921,Furniture,WC,8,6,0,0,0,1,0,0,0,17,10.0,28.0,19.0
128898,Zhaoshu,WC,2,4,0,1,0,0,0,0,0,-1,0.0,3.0,93.0
130672,Soltrain,WC,4,2,0,0,1,0,0,0,0,-1,0.0,9.0,54.0
133666,404 YC | Salt,WC,12,5,0,0,0,1,0,0,0,7,75.0,97.0,8.0
146978,Ding Hing,WC,6,6,0,0,1,0,0,0,0,-1,0.0,11.0,41.0
147811,Dawson,EC,14,4,0,0,0,0,1,0,0,9,45.0,74.0,9.0
148200,Big Pivot,WC,5,18,0,1,0,0,0,0,0,-1,0.0,6.0,75.0
150123,TPN,EC,11,4,0,0,0,1,0,0,0,9,45.0,66.0,11.0
151306,Zephyr,EC,10,5,0,0,0,1,0,0,0,-1,0.0,20.0,28.0
154507,HOT TUB | signifyisdumb,EC,4,6,0,1,0,0,0,0,0,-1,0.0,5.0,79.0
158003,Mono,WC,1,2,0,1,0,0,0,0,0,-1,0.0,2.0,105.0
172811,CS | Amity,EC,3,13,0,1,0,0,0,0,0,-1,0.0,4.0,85.0
175446,DJAN,EC,0,4,0,1,0,0,0,0,0,-1,0.0,1.0,116.0
182963,CILLGOD,EC,2,11,0,1,0,0,0,0,0,-1,0.0,3.0,93.0
183677,Yamasaki,WC,6,3,0,0,1,0,0,0,0,-1,0.0,11.0,41.0
211440,Darrell,WC,10,6,0,0,0,1,0,0,0,-1,0.0,20.0,28.0
212497,twitch.tv | emu50,EC,2,1,0,1,0,0,0,0,0,-1,0.0,3.0,93.0
230350,AR0,WC,5,4,0,1,0,0,0,0,0,-1,0.0,6.0,75.0
232193,Chiefn_,EC,6,4,0,0,1,0,0,0,0,-1,0.0,11.0,41.0
241260,Alex18+,EC,7,8,0,0,1,0,0,0,0,-1,0.0,12.0,37.0
245152,emy,WC,8,7,0,0,1,0,0,0,0,-1,0.0,13.0,34.0
268767,markrevival,WC,0,9,0,1,0,0,0,0,0,-1,0.0,1.0,116.0
269511,SquidTheCat,WC,3,5,0,1,0,0,0,0,0,-1,0.0,4.0,85.0
277309,DPMZ,WC,5,5,0,1,0,0,0,0,0,-1,0.0,6.0,75.0
278295,DadsAkimbo,EC,1,3,0,1,0,0,0,0,0,-1,0.0,2.0,105.0
326727,Frumentarii,EC,5,3,0,0,1,0,0,0,0,-1,0.0,10.0,50.0
354953,RPG,EC,5,5,0,0,1,0,0,0,0,-1,0.0,10.0,50.0
368847,SS | Julio,WC,0,1,0,1,0,0,0,0,0,-1,0.0,1.0,116.0
413573,John,WC,5,5,0,0,1,0,0,0,0,-1,0.0,10.0,50.0
428826,ArcaneFox,WC,6,6,0,1,0,0,0,0,0,-1,0.0,7.0,67.0
466221,Melo,WC,7,5,0,0,1,0,0,0,0,-1,0.0,12.0,37.0
492755,BoffTarget,WC,7,8,0,0,1,0,0,0,0,-1,0.0,12.0,37.0
507912,Top Shelf | Dulbasaur,WC,10,10,0,1,0,0,0,0,0,-1,0.0,11.0,41.0
508967,Goosekhan,EC,7,0,0,0,0,1,0,0,0,-1,0.0,17.0,32.0
533918,Maelstrom,EC,4,4,0,0,1,0,0,0,0,-1,0.0,9.0,54.0
538935,Jangu,WC,3,9,0,1,0,0,0,0,0,-1,0.0,4.0,85.0
539984,Ahmad,EC,8,3,0,0,0,1,0,0,0,17,10.0,28.0,19.0
542693,Bbatts,EC,11,3,0,0,0,0,1,0,0,-1,0.0,26.0,23.0
581230,SmashMouthEgg,EC,0,3,0,1,0,0,0,0,0,-1,0.0,1.0,116.0
582190,rice,EC,2,7,0,1,0,0,0,0,0,-1,0.0,3.0,93.0
684008,deep_cuts,WC,0,9,0,1,0,0,0,0,0,-1,0.0,1.0,116.0
691112,JMONEY,WC,0,3,0,1,0,0,0,0,0,-1,0.0,1.0,116.0
694497,IMP | Ben,NOTAV,6,2,0,0,0,0,0,0,1,2,175.0,191.0,2.0
710975,Keo,WC,11,9,0,0,0,1,0,0,0,-1,0.0,21.0,27.0
732665,Lama,EC,1,1,0,1,0,0,0,0,0,-1,0.0,2.0,105.0
748365,ledgefiend,WC,0,2,0,1,0,0,0,0,0,-1,0.0,1.0,116.0
887010,Rockin,EC,12,12,0,0,1,0,0,0,0,-1,0.0,17.0,32.0
925836,Ashley,EC,1,3,0,1,0,0,0,0,0,-1,0.0,2.0,105.0
1026815,Sakm,WC,4,2,0,0,1,0,0,0,0,-1,0.0,9.0,54.0
1053040,UNCO | Neur0n,WC,0,1,0,1,0,0,0,0,0,-1,0.0,1.0,116.0
1077796,FreeHops,WC,2,3,0,1,0,0,0,0,0,-1,0.0,3.0,93.0
