SmasherID,SmashTag,BWeek1,BWeek2,BWeek3,BWeek4,BWeek5
2206263,nmble-mann,NAN,1,1.0,1.0,1.0
2215703,DiMaria,NAN,8,14.0,14.0,14.0
2233473,fssong,NAN,NAN,3.0,3.0,4.0
2242538,Erica,13,13,13.0,13.0,13.0
2245020,enterthekiwi,NAN,NAN,NAN,NAN,6.0
2251343,ClintStevensTV | HungryboxFan304,NAN,NAN,12.0,12.0,12.0
2262562,me,NAN,NAN,NAN,1.0,1.0
2264748,bunnygirlsenpai,NAN,NAN,NAN,2.0,5.0
2264917,Mobley,NAN,NAN,NAN,1.0,1.0
2265424,Zolof,NAN,NAN,NAN,8.0,8.0
2265774,boys,NAN,NAN,NAN,1.0,2.0
2266162,2GATS,NAN,NAN,NAN,1.0,1.0
2269490,GGS,NAN,NAN,NAN,NAN,64.0
2270838,Sol | | Saturn,NAN,NAN,NAN,NAN,4.0
2271152,purpp,NAN,NAN,NAN,NAN,6.0
2272366,CyAn,NAN,NAN,NAN,NAN,2.0
