SmasherID,SmashTag,RWeek1,RWeek2,RWeek3,ChangeInRank
49875,Paladin,NAN,31,39.0,-8.0
50937,Wumbo,87,147,216.0,-69.0
51055,MIT | unlucky,NAN,NAN,154.0,NAN
51076,Power Kevin,98,167,194.0,-27.0
51373,prof,10,17,22.0,-5.0
60696,FM | Cilan,78,131,194.0,-63.0
61570,YC | Peppi | | Pappi,5,9,13.0,-4.0
61897,LSD,NAN,7,10.0,-3.0
63581,CableKnit,NAN,NAN,174.0,NAN
63772,Fern,NAN,74,82.0,-8.0
63940,Weeg,NAN,NAN,80.0,NAN
64692,SANS | Blues Clues,9,11,7.0,4.0
65777,bobby big ballz,NAN,NAN,15.0,NAN
70458,PEPIS | Noire,NAN,NAN,27.0,NAN
103305,Dr. Lame,41,70,109.0,-39.0
