Rank,RankChange,Tag,Wins,Losses,Win%,Bankroll Bills
216.0,24.0,FlLFFl,7,10,41.18,9.0
216.0,New,Simon,4,4,50.0,9.0
216.0,4.0,Mo $,7,12,36.84,9.0
216.0,-39.0,Arn255,8,14,36.36,9.0
216.0,-5.0,Spi,5,37,11.9,9.0
216.0,-39.0,91,7,13,35.0,9.0
216.0,-39.0,Lamonster,4,5,44.44,9.0
216.0,4.0,TourGuide,7,13,35.0,9.0
234.0,-46.0,WOMB#619 | Wombat,6,8,42.86,8.0
234.0,-36.0,Special K,3,37,7.5,8.0
234.0,New,Pulch,7,8,46.67,8.0
234.0,-23.0,Chuchaka2112,6,12,33.33,8.0
234.0,-14.0,theassistant,6,18,25.0,8.0
234.0,-46.0,Oferton,7,8,46.67,8.0
234.0,-46.0,Connorasada,7,12,36.84,8.0
234.0,-46.0,jerma985,3,1,75.0,8.0
234.0,-46.0,a-on,3,2,60.0,8.0
234.0,New,Chaboomba,7,7,50.0,8.0
234.0,-46.0,Sworderailer,6,16,27.27,8.0
234.0,-46.0,Buffalo,3,1,75.0,8.0
234.0,-46.0,YC | Peppi | | Pappi,3,0,100.0,8.0
247.0,-49.0,BeanBurrito-San,6,15,28.57,7.0
247.0,-49.0,Moshi,6,20,23.08,7.0
247.0,-27.0,Broasty,4,7,36.36,7.0
247.0,-49.0,Kombeze Ataie,6,15,28.57,7.0
247.0,-49.0,BEBO,5,21,19.23,7.0
247.0,-49.0,Axis,5,11,31.25,7.0
247.0,-7.0,hHerb,5,11,31.25,7.0
247.0,-49.0,icecream,5,14,26.32,7.0
247.0,-49.0,Project Pat,2,1,66.67,7.0
247.0,-49.0,ericiscool.net,3,4,42.86,7.0
247.0,-49.0,Kitsune,2,0,100.0,7.0
247.0,-49.0,Reaver_King,5,16,23.81,7.0
247.0,-36.0,rice,3,40,6.98,7.0
247.0,-27.0,davidparkpark,5,8,38.46,7.0
261.0,-50.0,WRLD,5,5,50.0,6.0
261.0,-50.0,pathojin,3,14,17.65,6.0
261.0,-50.0,Nudepenguin,3,12,20.0,6.0
261.0,-41.0,#215 | Ogre,4,9,30.77,6.0
261.0,New,DumpyComb,5,9,35.71,6.0
261.0,-50.0,Neenor,5,5,50.0,6.0
261.0,-50.0,STP,5,6,45.45,6.0
268.0,-48.0,DMT,4,5,44.44,5.0
268.0,-5.0,Jquinnsweg,2,20,9.09,5.0
268.0,-48.0,Leviath,4,7,36.36,5.0
268.0,-48.0,PP | rocky,4,5,44.44,5.0
268.0,-48.0,will1v1_ttv,4,5,44.44,5.0
268.0,-48.0,Pogey,4,17,19.05,5.0
268.0,-48.0,Rodney,4,4,50.0,5.0
268.0,-48.0,Fran,4,6,40.0,5.0
268.0,-28.0,markrevival,1,12,7.69,5.0
268.0,New,SquidTheCat,4,5,44.44,5.0
268.0,-48.0,Iron,4,4,50.0,5.0
268.0,-48.0,Rickeye_rick,4,8,33.33,5.0
268.0,-48.0,TPYO,4,18,18.18,5.0
268.0,12.0,Thumos,3,20,13.04,5.0
268.0,-48.0,Wiza,3,13,18.75,5.0
268.0,-48.0,Piti,4,6,40.0,5.0
268.0,-48.0,Penguis,4,11,26.67,5.0
268.0,-48.0,wally,4,5,44.44,5.0
286.0,New,PLEB | Capy,3,6,33.33,4.0
286.0,-46.0,S.O.D.A,2,7,22.22,4.0
286.0,-46.0,Logan,3,4,42.86,4.0
286.0,New,Zuber,3,4,42.86,4.0
286.0,-46.0,Kawaii Kid | King Salmon,2,10,16.67,4.0
286.0,-46.0,15SA | Raiken,3,14,17.65,4.0
286.0,New,omnijr,3,11,21.43,4.0
