SmasherID,SmashTag,BWeek1,BWeek2,BWeek3,BWeek4
1388856,SHRD#209 | Shredder,NAN,NAN,NAN,2.0
1458782,Tomato,NAN,NAN,NAN,1.0
1466521,Floods,NAN,1.0,11.0,13.0
1487504,Arn255,9.0,9.0,9.0,9.0
1525551,Aldito1469,1.0,1.0,1.0,4.0
1638022,pathojin,3.0,4.0,4.0,6.0
1640788,Special K,2.0,4.0,4.0,6.0
1653242,Jquinnsweg,NAN,2.0,2.0,3.0
1669002,JehL,1.0,1.0,1.0,1.0
1682516,BABA | Babo,NAN,NAN,NAN,2.0
1736473,Comp... | PJThePuff,NAN,NAN,NAN,4.0
1737518,Kombeze Ataie,7.0,7.0,7.0,7.0
1753671,Moonking34,NAN,4.0,4.0,4.0
1866109,BubbleFuel,4.0,4.0,4.0,4.0
1906382,KatBot,NAN,2.0,2.0,8.0
1918686,roadkill,1.0,2.0,2.0,9.0
1927744,pr0j3cts,1.0,1.0,1.0,1.0
1940641,100 Days Of Solitude,NAN,2.0,2.0,2.0
1944467,SUPERUNKNOWN,NAN,3.0,3.0,3.0
1954849,Salamanderman,NAN,NAN,NAN,2.0
1957958,50 Rats in a Trenchcoat,1.0,1.0,1.0,1.0
1966716,LewdCelebs4Free,5.0,5.0,5.0,10.0
1974127,Team Roz | aujory,NAN,1.0,1.0,1.0
2026451,ASAPferq,NAN,1.0,1.0,1.0
2029884,Nudepenguin,NAN,2.0,2.0,4.0
2038523,thesiscat,4.0,4.0,4.0,4.0
2053276,DT6 | Ogre,NAN,NAN,NAN,5.0
2103929,sidewinder572,1.0,1.0,1.0,1.0
2110985,theassistant,NAN,NAN,NAN,5.0
2111039,Uncle B,NAN,NAN,NAN,27.0
2114773,Raffshot,NAN,3.0,3.0,3.0
2120266,hellojoe34,NAN,1.0,1.0,1.0
2122811,$W@6 | rocketf20,NAN,2.0,2.0,2.0
2124348,thehumanblob,NAN,NAN,NAN,1.0
2133564,Brandt,2.0,2.0,2.0,2.0
2136488,Sacred,11.0,11.0,11.0,11.0
2140092,Jet,NAN,12.0,70.0,91.0
2143817,A HUMAN | Agile,NAN,1.0,1.0,1.0
2145653,doubledown8,12.0,12.0,12.0,12.0
2147280,slowtai,NAN,13.0,13.0,24.0
2149456,Quadragesimus,2.0,5.0,5.0,5.0
2154680,Godslayer903,8.0,11.0,11.0,11.0
2156746,Wobs,1.0,1.0,1.0,1.0
2167802,Bebop,NAN,2.0,2.0,2.0
2172930,Sav,NAN,1.0,1.0,1.0
2177428,KYROS | Chuchaka2112,6.0,6.0,6.0,6.0
2178856,Abermega,1.0,1.0,1.0,1.0
2179108,Mud,13.0,22.0,22.0,43.0
2182633,sisig,NAN,3.0,3.0,3.0
2189946,GNIK,NAN,NAN,NAN,31.0
