SmasherID,SmashTag,NumTMTEntered,NumInBracket,PWeek1,PWeek2,PWeek3,PWeek4,PWeek5,PWeek6
324561,Soonsay,2,2,2,-2,-2,5,-2,-2
327212,IWI | Marrgasm,1,0,-2,-2,-2,-2,-1,-2
328838,PeS | Puppy,1,0,-2,-1,-2,-2,-2,-2
348589,Okami,1,0,-2,-2,-2,-2,-1,-2
354953,RPG,1,0,-2,-2,-2,-2,-2,-1
360229,BEBO,2,0,-2,-1,-2,-1,-2,-2
363202,Luigi Gang | Brownie,1,0,-2,-2,-2,-2,-2,-1
378512,Khoron | Oreo,5,1,-1,-1,-2,-1,17,-1
391890,TheFormuoli,1,0,-2,-2,-2,-2,-2,-1
395730,PQ2 | CPU0,4,2,-2,-2,13,-1,9,-1
407048,WA | AodhaN,1,0,-2,-2,-2,-2,-2,-1
416070,Pooptown,1,0,-2,-2,-2,-1,-2,-2
427342,Lamonster,1,0,-2,-2,-2,-2,-1,-2
436506,FestivalDeLaCombo,1,0,-2,-1,-2,-2,-2,-2
448153,Neenor,1,0,-1,-2,-2,-2,-2,-2
449526,King,1,0,-2,-2,-2,-2,-1,-2
460428,Moshi,1,0,-2,-2,-2,-2,-1,-2
466221,Melo,2,0,-2,-1,-2,-2,-1,-2
472971,yBaS | MaxJacks,4,0,-1,-1,-2,-1,-1,-2
483428,DCG | Spots,1,0,-1,-2,-2,-2,-2,-2
484238,Alextrer,1,1,-2,-2,17,-2,-2,-2
491552,DannyPhantom,2,1,-2,-2,-2,17,-1,-2
493224,Fitz,2,0,-1,-1,-2,-2,-2,-2
503278,Pogey,1,0,-1,-2,-2,-2,-2,-2
512704,Axis,2,0,-1,-2,-2,-2,-1,-2
517095,TG CS | EBND,1,0,-2,-2,-2,-1,-2,-2
519399,Leviath,1,0,-2,-2,-2,-1,-2,-2
519644,Stoon,1,0,-2,-2,-2,-2,-1,-2
519779,Tommy,2,1,-2,-2,-2,-2,-1,9
520837,Neck,2,0,-1,-1,-2,-2,-2,-2
525553,jerma985,1,0,-2,-2,-2,-2,-1,-2
531485,Dova,1,1,-2,-2,-2,17,-2,-2
533918,Maelstrom,3,0,-1,-2,-2,-2,-1,-1
542693,Bbatts,3,3,9,-2,-2,-2,17,13
577038,Zakqary,1,0,-2,-1,-2,-2,-2,-2
581039,I'm Michael BTW,2,1,-2,-2,-2,13,-2,-1
582190,rice,4,0,-2,-1,-2,-1,-1,-1
592481,Riggs,1,0,-2,-2,-2,-1,-2,-2
617254,N8v,2,0,-2,-2,-2,-2,-1,-1
618813,Chance,2,0,-2,-2,-2,-2,-1,-1
618857,Lamdin,1,0,-1,-2,-2,-2,-2,-2
623333,Echo_SSBM | Commas,1,0,-2,-2,-2,-2,-2,-1
627118,Pipe,4,0,-1,-1,-2,-1,-1,-2
637179,Sodabro,1,0,-2,-2,-2,-1,-2,-2
657464,CowCowCowCowCow,2,1,-1,13,-2,-2,-2,-2
657711,PurpleZ,2,0,-1,-2,-2,-1,-2,-2
684008,deep_cuts,1,0,-2,-1,-2,-2,-2,-2
692999,maso soup,1,0,-1,-2,-2,-2,-2,-2
694497,IMP | Ben,3,3,-2,-2,-2,5,7,1
709843,Chem,1,0,-2,-2,-2,-1,-2,-2
725508,620 | Megacaat,2,1,-2,-1,17,-2,-2,-2
726185,DBRDd#641,1,0,-2,-2,-2,-1,-2,-2
732665,Lama,1,1,-2,-2,17,-2,-2,-2
800147,Dark Oreo Master,1,0,-2,-1,-2,-2,-2,-2
804411,Neee,1,0,-1,-2,-2,-2,-2,-2
807868,Funk,1,0,-1,-2,-2,-2,-2,-2
819230,Willy P,2,0,-1,-1,-2,-2,-2,-2
836691,BeanBurrito-San,1,0,-2,-2,-2,-2,-1,-2
843302,Buffalo,1,0,-2,-2,-2,-1,-2,-2
852916,Krizski,2,2,7,9,-2,-2,-2,-2
856699,Logan,1,0,-2,-1,-2,-2,-2,-2
858866,SLO | GrizzlyBair,2,0,-2,-2,-2,-1,-1,-2
862074,snacklepackle,3,1,-1,-1,-2,-2,17,-2
869465,NSB  |  KXT,1,0,-2,-2,-2,-2,-2,-1
880372,Good1ife,2,0,-1,-2,-2,-2,-2,-1
883137,Keppler,1,0,-2,-2,-2,-2,-1,-2
890721,Mr. Butterfly,1,0,-2,-2,-2,-2,-1,-2
897692,Iron,1,0,-2,-2,-2,-1,-2,-2
898035,mathandsurf,1,0,-1,-2,-2,-2,-2,-2
928033,CarbonDog,1,0,-2,-2,-2,-2,-2,-1
1034300,Oz,1,0,-1,-2,-2,-2,-2,-2
1034371,niimo,1,0,-2,-2,-2,-1,-2,-2
1053202,diddylonglegs,1,0,-2,-2,-2,-1,-2,-2
1053605,JFIRE,1,0,-2,-1,-2,-2,-2,-2
1065524,Flippy,1,0,-2,-1,-2,-2,-2,-2
1076996,Newquake,2,1,-2,-2,25,-2,-1,-2
1077796,FreeHops,1,0,-2,-2,-2,-2,-2,-1
1105215,krizzy,1,0,-2,-2,-2,-2,-2,-1
1106504,omnijr,1,0,-2,-2,-2,-2,-2,-1
1112770,Penguis,1,0,-2,-2,-2,-1,-2,-2
1122123,Alex AF,1,0,-2,-2,-2,-1,-2,-2
1194651,Pound,2,0,-2,-2,-2,-2,-1,-1
1228401,Asus(4),1,0,-2,-1,-2,-2,-2,-2
1232194,Kawaii Kid | King Salmon,2,0,-1,-1,-2,-2,-2,-2
1257072,Chaboomba,1,0,-2,-2,-2,-2,-2,-1
1261736,Mars,1,0,-2,-2,-2,-1,-2,-2
1263692,ushi,1,0,-2,-2,-2,-1,-2,-2
1308234,JackO,1,0,-1,-2,-2,-2,-2,-2
1375808,Epoodle,3,1,-2,-2,-2,17,-1,-1
1377337,bluecd,1,0,-2,-2,-2,-2,-2,-1
1379261,S.O.D.A,2,0,-2,-2,-2,-1,-1,-2
1388856,SHRD#209 | Shredder,1,0,-2,-2,-2,-1,-2,-2
1458782,Tomato,1,0,-2,-2,-2,-1,-2,-2
1466521,Floods,5,1,-2,-1,25,-1,-1,-1
1487504,Arn255,1,0,-1,-2,-2,-2,-2,-2
1525551,Aldito1469,4,0,-1,-2,-2,-1,-1,-1
1597042,Rome0,1,0,-2,-2,-2,-2,-2,-1
1634098,Zuber,1,0,-2,-2,-2,-2,-2,-1
1638022,pathojin,3,0,-1,-1,-2,-1,-2,-2
1640788,Special K,5,0,-1,-1,-2,-1,-1,-1
1653242,Jquinnsweg,3,0,-2,-1,-2,-1,-2,-1
1654446,TR | Lunez,1,0,-2,-2,-2,-2,-2,-1
1655337,Drewski,1,0,-2,-2,-2,-2,-1,-2
1665299,2Pro4Pro | Toastrmann,1,0,-2,-2,-2,-2,-2,-1
1669002,JehL,1,0,-1,-2,-2,-2,-2,-2
1682516,BABA | Babo,1,0,-2,-2,-2,-1,-2,-2
1682862,ArtlexPlays,1,0,-2,-2,-2,-2,-2,-1
1736473,Comp... | PJThePuff,1,0,-2,-2,-2,-1,-2,-2
1737518,Kombeze Ataie,1,0,-1,-2,-2,-2,-2,-2
