SmasherID,SmashTag,RWeek1,RWeek2,RWeek3,RWeek4,RWeek5,RWeek6,ChangeInRank
1263692,ushi,NAN,NAN,NAN,244.0,280.0,339.0,-59.0
1308234,JackO,124.0,186.0,198.0,270.0,315.0,381.0,-66.0
1375808,Epoodle,NAN,NAN,NAN,59.0,70.0,59.0,11.0
1377337,bluecd,NAN,NAN,NAN,NAN,NAN,339.0,NAN
1379261,S.O.D.A,NAN,NAN,NAN,224.0,240.0,286.0,-46.0
1388856,SHRD#209 | Shredder,NAN,NAN,NAN,244.0,280.0,339.0,-59.0
1458782,Tomato,NAN,NAN,NAN,270.0,315.0,381.0,-66.0
1466521,Floods,NAN,186.0,97.0,114.0,133.0,147.0,-14.0
1487504,Arn255,65.0,99.0,113.0,152.0,177.0,216.0,-39.0
1525551,Aldito1469,124.0,186.0,198.0,201.0,198.0,195.0,3.0
1597042,Rome0,NAN,NAN,NAN,NAN,NAN,195.0,NAN
1634098,Zuber,NAN,NAN,NAN,NAN,NAN,286.0,NAN
1638022,pathojin,96.0,131.0,144.0,176.0,211.0,261.0,-50.0
1640788,Special K,105.0,131.0,144.0,176.0,198.0,234.0,-36.0
1653242,Jquinnsweg,NAN,166.0,178.0,224.0,263.0,268.0,-5.0
1654446,TR | Lunez,NAN,NAN,NAN,NAN,NAN,135.0,NAN
1655337,Drewski,NAN,NAN,NAN,NAN,263.0,312.0,-49.0
1665299,2Pro4Pro | Toastrmann,NAN,NAN,NAN,NAN,NAN,381.0,NAN
1669002,JehL,124.0,186.0,198.0,270.0,315.0,381.0,-66.0
1682516,BABA | Babo,NAN,NAN,NAN,244.0,280.0,339.0,-59.0
1682862,ArtlexPlays,NAN,NAN,NAN,NAN,NAN,339.0,NAN
1736473,Comp... | PJThePuff,NAN,NAN,NAN,201.0,240.0,286.0,-46.0
1737518,Kombeze Ataie,75.0,110.0,124.0,170.0,198.0,247.0,-49.0
1753671,Moonking34,NAN,131.0,144.0,201.0,240.0,286.0,-46.0
1791375,AzLuFa,NAN,NAN,NAN,NAN,NAN,339.0,NAN
1802123,mello,NAN,NAN,NAN,NAN,NAN,339.0,NAN
1833185,Danimals,NAN,NAN,NAN,NAN,NAN,312.0,NAN
1844112,FoUr,NAN,NAN,NAN,NAN,NAN,286.0,NAN
1866109,BubbleFuel,88.0,131.0,144.0,201.0,240.0,286.0,-46.0
1906382,KatBot,NAN,166.0,178.0,162.0,114.0,97.0,17.0
1918686,roadkill,124.0,166.0,178.0,152.0,177.0,216.0,-39.0
1927744,pr0j3cts,124.0,186.0,198.0,270.0,315.0,381.0,-66.0
1931842,TPYO,NAN,NAN,NAN,NAN,220.0,268.0,-48.0
1940641,100 Days Of Solitude,NAN,166.0,178.0,244.0,280.0,339.0,-59.0
1941140,Moist | kennypenny,NAN,NAN,NAN,NAN,280.0,216.0,64.0
1944467,SUPERUNKNOWN,NAN,152.0,165.0,224.0,263.0,312.0,-49.0
1954849,Salamanderman,NAN,NAN,NAN,244.0,280.0,339.0,-59.0
1957958,50 Rats in a Trenchcoat,124.0,186.0,198.0,270.0,315.0,381.0,-66.0
1966716,LewdCelebs4Free,82.0,116.0,130.0,138.0,109.0,92.0,17.0
1974127,Roz's Friend | aujory,NAN,186.0,198.0,270.0,315.0,312.0,3.0
2019913,jatpuan,NAN,NAN,NAN,NAN,NAN,286.0,NAN
2026451,ASAPferq,NAN,186.0,198.0,270.0,315.0,381.0,-66.0
2029884,Nudepenguin,NAN,166.0,178.0,201.0,211.0,261.0,-50.0
2038523,thesiscat,88.0,131.0,144.0,201.0,240.0,286.0,-46.0
2053276,#215 | Ogre,NAN,NAN,NAN,184.0,220.0,261.0,-41.0
2086583,SirTaco,NAN,NAN,NAN,NAN,NAN,381.0,NAN
2103929,sidewinder572,124.0,186.0,198.0,270.0,315.0,381.0,-66.0
2110985,theassistant,NAN,NAN,NAN,184.0,220.0,234.0,-14.0
2111039,Uncle B,NAN,NAN,NAN,61.0,69.0,84.0,-15.0
2114773,Raffshot,NAN,152.0,165.0,224.0,263.0,312.0,-49.0
2120266,hellojoe34,NAN,186.0,198.0,270.0,315.0,381.0,-66.0
2122811,$W@6 | rocketf20,NAN,166.0,178.0,244.0,280.0,339.0,-59.0
2124348,thehumanblob,NAN,NAN,NAN,270.0,315.0,381.0,-66.0
2133564,Brandt,105.0,166.0,178.0,244.0,280.0,339.0,-59.0
2136488,Sacred,56.0,84.0,97.0,129.0,158.0,182.0,-24.0
2140092,Jet,NAN,77.0,26.0,24.0,27.0,28.0,-1.0
