SmasherID,SmashTag,Main,FirstTMT
16066,TG NBR | Panos,Falcon,1
286517,Thad <3,Marth,1
10529,The Leaf,Fox,2
391890,TheFormuoli,Falco,1
4864,Theftz,Puff,1
63720,TNC | n3zModGod,Yoshi,4
1186877,Tomz,Unknown,3
25789,Tourist,Marth,2
7149,Trail,ICs,3
55354,Travy,Luigi,4
36990,Trock,Fox,2
5050,Troy,Fox,4
330200,TT | Dair,Sheik,4
157632,TurboThot,Fox,2
12353,Twisty,Fox,2
171111,UARK | VentusWK,Falco,4
4197,Uncle Pete,Marth,2
51608,Vitro,Marth,1
38175,W8ASec,Falcon,1
2114345,Watermelons,Marth,4
1008,Westballz,Falco,4
34266,WOMB#619 | Wombat,Falco,3
183280,WW | Lemonjuices,Fox,5
183677,Yamasaki,Marth,4
144133,YBBT | leroydankins,Fox,3
2088,ycz6,Samus,4
12137,yingling,Falco,1
1598204,YoungHanSolo,Falco,5
15678,Zeph,Sheik,4
329160,ZUTH | Zuthane,Falco,3
53112,8-bit | dansdaman,Sheik,6
312135,AlyJ,Falco,6
360229,BEBO,Marth,6
1633823,ButterRoyaleTV,Falco,6
1655337,Drewski,Falco,6
2044204,Eastwood,Falcon,6
182665,Elysian,Fox,6
13385,ePG | Chevy,Samus,6
4647,Gaz,Fox,6
2131909,gbio,Sheik,6
1501041,Hamburglar,Marth,6
1551714,JCobbs,Yoshi,6
213911,jtetter,Falco,6
418740,ManRay,Ganon,6
956568,Night,Fox,6
217541,noChill,Luigi,6
1112770,Penguis,Falco,6
1007304,Phorox,Doc,6
315101,Rozu,Falcon,6
843799,Snoos,Falcon,6
865922,SRN | Soulrifle211,Fox,6
2038523,thesiscat,Falco,6
221423,Typhoon,Marth,6
22937,USF | Quadae,Fox,6
3299,Vish,Falcon,6
4738,Young,Marth,6
26579,Zave,Falco,6
425209,Acuna,Marth,7
782984,Blanks,Falco,7
3499,Boy,Falcon,7
186967,Bug Juice | Snorlaxative,Sheik,7
61640,CAPTwheatroll,Mario,7
418257,CardsNG,Peach,7
175324,Dandy,Fox,7
1969893,Enrique Iglesias,ICs,7
205873,Funktrocious,Fox,7
35423,Gaz333,Fox,7
16393,Higgins,Peach,7
1966739,ImYourDade,Falcon,7
30581,Jolf,Falco,7
1030,LFG | Eddy Mexico,Luigi,7
1966716,LewdCelebs4Free,Sheik,7
370970,Mahik,Falcon,7
158003,Mono,Yoshi,7
982735,MordecaiPielord,Sheik,7
4390,NGG | Jflex,Sheik,7
1554675,NoFuxGiven,Falco,7
312097,Nyte,Puff,7
395730,PQ2 | CPU0,Puff,7
623333,ParkedInTraffic | Commas,Sheik,7
1597042,Rome0,Fox,7
30865,Spi,Falco,7
150123,TPN,Link,7
15390,Tammerath,Sheik,7
1623681,Xad,Fox,7
253180,Yuki08,Falco,7
228514,dabt,Falco,7
178194,foxmcchicken,Falcon,7
2142566,lavalamp,Fox,7
1261759,melatonin,Falco,7
2094677,peenlover,Falcon,7
47650,shoelegend88,Falco,7
225081,:3 | fenceturtle,,8
31473,C H U M P I S,,8
185178,Captain Koala,,8
27754,Chummi,,8
1839605,DontTestMe,,8
10228,Flow | Stark,,8
7277,GOL | JSalt,,8
1631004,Homeslice,,8
47832,IceCreamOG,,8
538935,Jangu,,8
135088,LFG | PanterA,,8
257406,Lotfy,,8
7634,MT,,8
1044913,Majora,,8
275884,Maljo,,8
232213,MikeDrop,,8
14305,Nard Dawg,,8
2146702,Port!!!,,8
1196449,RB | Cum Fox,,8
58670,RCS | Savestate,,8
10994,RedHousePainter,,8
10562,SFOP,,8
13906,SSBM-T | LuigiKid,,8
2147280,Saatvik,,8
1729667,SlickSiwik,,8
39997,Sparky,,8
27257,TBS | Nero,,8
2147247,UPTILT | Nishi,,8
1833788,dust,,8
48857,hestoned,,8
748365,ledgefiend,,8
4029,mixx,,8
2145485,scrubjr,,8
219761,volt.,,8
