SmasherID,SmashTag,RWeek1,RWeek2,RWeek3,RWeek4,RWeek5,RWeek6,RWeek7,RWeek8,ChangeInRank
312135,AlyJ,NAN,NAN,NAN,NAN,NAN,41.0,45.0,54.0,-9.0
315101,Rozu,NAN,NAN,NAN,NAN,NAN,144.0,163.0,192.0,-29.0
325974,SDJ,NAN,NAN,25.0,30.0,39.0,47.0,53.0,60.0,-7.0
327212,Marrgasm,28.0,25.0,32.0,45.0,36.0,41.0,45.0,53.0,-8.0
329160,ZUTH | Zuthane,NAN,NAN,91.0,150.0,185.0,210.0,241.0,272.0,-31.0
329937,LanTurN,NAN,NAN,65.0,66.0,77.0,90.0,103.0,117.0,-14.0
330200,TT | Dair,NAN,NAN,NAN,132.0,148.0,168.0,190.0,223.0,-33.0
353165,Milo,26.0,48.0,54.0,78.0,92.0,110.0,126.0,148.0,-22.0
357233,Afron,56.0,90.0,112.0,176.0,207.0,234.0,267.0,300.0,-33.0
360229,BEBO,NAN,NAN,NAN,NAN,NAN,217.0,223.0,192.0,31.0
364725,LUNK#783 | dom,NAN,NAN,99.0,160.0,191.0,217.0,248.0,280.0,-32.0
367758,Rose,NAN,NAN,NAN,176.0,207.0,234.0,267.0,300.0,-33.0
370970,Mahik,NAN,NAN,NAN,NAN,NAN,NAN,82.0,96.0,-14.0
391890,TheFormuoli,31.0,54.0,62.0,96.0,110.0,137.0,158.0,185.0,-27.0
395730,PQ2 | CPU0,NAN,NAN,NAN,NAN,NAN,NAN,103.0,117.0,-14.0
407878,Slump,40.0,59.0,73.0,112.0,135.0,156.0,179.0,212.0,-33.0
413573,John,NAN,NAN,65.0,101.0,119.0,98.0,114.0,129.0,-15.0
418257,CardsNG,NAN,NAN,NAN,NAN,NAN,NAN,163.0,81.0,82.0
418740,ManRay,NAN,NAN,NAN,NAN,NAN,156.0,179.0,212.0,-33.0
420458,Jorge,NAN,NAN,NAN,73.0,87.0,103.0,119.0,136.0,-17.0
424095,Frost | JJK,56.0,90.0,112.0,176.0,207.0,234.0,267.0,300.0,-33.0
425209,Acuna,NAN,NAN,NAN,NAN,NAN,NAN,203.0,231.0,-28.0
451734,CID,NAN,NAN,NAN,NAN,172.0,196.0,223.0,252.0,-29.0
465131,Hunybear,23.0,43.0,51.0,73.0,87.0,103.0,119.0,136.0,-17.0
478083,saacdaddy,NAN,NAN,NAN,140.0,172.0,196.0,223.0,252.0,-29.0
483428,DCG | Spots,NAN,NAN,99.0,160.0,191.0,217.0,248.0,280.0,-32.0
493224,Futz,NAN,NAN,NAN,NAN,172.0,196.0,223.0,252.0,-29.0
508569,eh | sickø,NAN,NAN,80.0,125.0,157.0,179.0,203.0,231.0,-28.0
508959,BCM | veggies,NAN,NAN,NAN,NAN,148.0,168.0,190.0,223.0,-33.0
526019,CSR | Tezlik,NAN,NAN,NAN,NAN,103.0,128.0,148.0,174.0,-26.0
528737,3OutChange,NAN,81.0,99.0,160.0,191.0,217.0,248.0,280.0,-32.0
538935,Jangu,NAN,NAN,NAN,NAN,NAN,NAN,NAN,174.0,NAN
585236,306 | Amrak,31.0,20.0,10.0,10.0,12.0,14.0,17.0,18.0,-1.0
