SmasherID,SmashTag,NumTMTEntered,NumInBracket,PWeek1,PWeek2,PWeek3,PWeek4,PWeek5,PWeek6,PWeek7,PWeek8,PWeek9,PWeek10,PWeek11,PWeek12
56038.0,Retro SHFFL | Lengüitas,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-2,-1
56287.0,Sporsinick,1,0,-2.0,-2.0,-2.0,-1,-2,-2,-2,-2,-2,-2,-2,-2
58588.0,Jeffthecheff,2,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-1,-1,-2
58670.0,RCS | Savestate,1,1,-2.0,-2.0,-2.0,-2,-2,-2,-2,17,-2,-2,-2,-2
60417.0,SoS | Cor,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-1,-2,-2
60696.0,FM | Cilan,3,2,-2.0,17.0,13.0,-2,-2,-1,-2,-2,-2,-2,-2,-2
61570.0,YC | Pappi,4,2,-2.0,-2.0,-2.0,17,-2,-1,5,-2,-2,-2,-1,-2
61640.0,CAPTwheatroll,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-1,-2,-2,-2,-2,-2
61873.0,306 | Polo,1,1,17.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-2,-2
61897.0,lluZ | PEP | LSD,6,6,5.0,-2.0,1.0,2,4,-2,17,-2,-2,-2,2,-2
62206.0,mia,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-1,-2,-2
62632.0,TheRed,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-1,-2
62721.0,UL | Dirty Lasagna,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-1,-2
63720.0,TNC | n3zModGod,2,1,-2.0,-2.0,-2.0,-1,-2,-2,-2,17,-2,-2,-2,-2
64260.0,Tayhow,4,0,-2.0,-2.0,-2.0,-1,-2,-2,-2,-1,-2,-1,-2,-1
64433.0,ilovebrooklyn99,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-2,-1
64644.0,STP,5,0,-2.0,-2.0,-2.0,-2,-1,-1,-1,-2,-1,-2,-2,-1
64692.0,SANS | Blues Clues,11,11,13.0,7.0,9.0,-2,9,9,9,9,17,7,17,9
65566.0,Miranda,6,0,-1.0,-2.0,-2.0,-2,-1,-2,-2,-1,-2,-1,-1,-1
