SmasherID,SmashTag,BWeek1,BWeek2,BWeek3,BWeek4,BWeek5,BWeek6,BWeek7
27862,Musashi,11.0,27.0,27.0,27.0,27.0,27.0,27.0
28793,Light,NAN,32.0,32.0,32.0,32.0,32.0,32.0
29840,TBD,NAN,34.0,34.0,54.0,54.0,83.0,83.0
30581,Jolf,NAN,NAN,NAN,NAN,NAN,NAN,11.0
30865,Spi,NAN,NAN,NAN,NAN,NAN,NAN,7.0
31090,punished | gelp,NAN,NAN,NAN,4.0,4.0,4.0,4.0
31658,early,NAN,NAN,NAN,2.0,2.0,2.0,2.0
33371,Fraud,NAN,NAN,NAN,7.0,7.0,7.0,7.0
33387,pointykitty,NAN,2.0,2.0,5.0,8.0,13.0,13.0
34266,WOMB#619 | Wombat,NAN,NAN,4.0,9.0,10.0,10.0,10.0
34980,Crispy | Chango,NAN,NAN,NAN,29.0,29.0,29.0,29.0
35423,Gaz333,NAN,NAN,NAN,NAN,NAN,NAN,13.0
36990,Trock,NAN,50.0,50.0,50.0,50.0,50.0,50.0
37116,GUG | Kürv,NAN,NAN,NAN,39.0,103.0,103.0,274.0
38175,W8ASec,12.0,12.0,12.0,12.0,12.0,12.0,12.0
38201,Blue Jay,NAN,NAN,2.0,2.0,2.0,2.0,2.0
38567,Android 0,NAN,116.0,116.0,116.0,116.0,116.0,116.0
38643,RedX,8.0,8.0,8.0,8.0,24.0,36.0,51.0
40403,Pawn,1.0,7.0,10.0,17.0,21.0,27.0,29.0
41211,Denzill,NAN,NAN,NAN,NAN,11.0,11.0,11.0
41492,Divine Senator Kelly,NAN,NAN,NAN,11.0,11.0,11.0,21.0
45356,OtES,8.0,8.0,8.0,8.0,8.0,8.0,22.0
47650,shoelegend88,NAN,NAN,NAN,NAN,NAN,NAN,16.0
47866,S.C.E. | Erik,NAN,37.0,37.0,66.0,120.0,245.0,371.0
48578,LoneCubone,NAN,NAN,1.0,1.0,1.0,1.0,1.0
50047,ScrubUp,NAN,NAN,NAN,14.0,14.0,14.0,37.0
51055,bird | unlucky,NAN,NAN,NAN,NAN,8.0,8.0,8.0
51488,Maher,NAN,NAN,NAN,NAN,44.0,44.0,44.0
51608,Vitro,5.0,5.0,5.0,5.0,5.0,5.0,5.0
53112,8-bit | dansdaman,NAN,NAN,NAN,NAN,NAN,18.0,18.0
53131,DHB | IggyNieves,NAN,NAN,NAN,14.0,14.0,14.0,14.0
53365,Ringler,2.0,2.0,2.0,2.0,2.0,2.0,2.0
54316,Stone,NAN,NAN,NAN,6.0,6.0,6.0,6.0
54390,Bonn Esports | Question,NAN,37.0,37.0,63.0,63.0,63.0,63.0
55354,Travy,NAN,NAN,NAN,12.0,28.0,28.0,28.0
56287,Sporsinick,NAN,NAN,NAN,7.0,7.0,7.0,7.0
60696,FM | Cilan,NAN,33.0,78.0,78.0,78.0,101.0,101.0
61570,YC | Pappi,NAN,NAN,NAN,27.0,27.0,49.0,167.0
61640,CAPTwheatroll,NAN,NAN,NAN,NAN,NAN,NAN,6.0
61873,306 | Polo,28.0,28.0,28.0,28.0,28.0,28.0,28.0
61897,PEP | LSD,124.0,124.0,362.0,552.0,690.0,690.0,726.0
63720,TNC | n3zModGod,NAN,NAN,NAN,7.0,7.0,7.0,7.0
64260,Hellraid,NAN,NAN,NAN,1.0,1.0,1.0,1.0
64644,STP,NAN,NAN,NAN,NAN,9.0,21.0,29.0
64692,SANS | Blues Clues,55.0,153.0,210.0,210.0,275.0,341.0,406.0
65566,Miranda,3.0,3.0,3.0,3.0,7.0,7.0,7.0
65598,rickey_kc,NAN,NAN,NAN,4.0,4.0,4.0,4.0
65777,bobby big ballz,73.0,219.0,383.0,524.0,611.0,828.0,1019.0
127639,Neologism,NAN,NAN,NAN,37.0,86.0,86.0,86.0
130672,Soltrain,NAN,NAN,NAN,10.0,19.0,22.0,22.0
132537,RG | Far!,NAN,NAN,NAN,NAN,122.0,157.0,157.0
133666,404 YC | Salt,NAN,NAN,NAN,NAN,66.0,66.0,66.0
135157,billybopeep,28.0,28.0,28.0,28.0,28.0,28.0,28.0
138710,Golden,63.0,63.0,63.0,63.0,63.0,63.0,157.0
144133,YBBT | leroydankins,NAN,NAN,4.0,4.0,4.0,15.0,18.0
147251,GS | TreyTheTrashman,NAN,4.0,4.0,4.0,4.0,4.0,4.0
147424,Spiral Cafe | Krudo,NAN,NAN,NAN,74.0,74.0,74.0,74.0
147811,Dawson,14.0,14.0,14.0,14.0,14.0,14.0,14.0
148200,Big Pivot,NAN,1.0,2.0,2.0,2.0,10.0,10.0
149952,Jakespeare,NAN,NAN,4.0,4.0,17.0,17.0,17.0
150123,TPN,NAN,NAN,NAN,NAN,NAN,NAN,49.0
150888,Shy,NAN,12.0,12.0,12.0,12.0,12.0,12.0
152430,HWY | ybot,NAN,NAN,NAN,NAN,29.0,29.0,29.0
152940,CLEM#112 | Clem,NAN,NAN,NAN,17.0,17.0,17.0,17.0
153334,Silkylaroux,NAN,NAN,NAN,9.0,9.0,13.0,13.0
155077,radvillainy,2.0,2.0,2.0,2.0,2.0,5.0,5.0
156518,Lust,NAN,NAN,NAN,4.0,4.0,4.0,4.0
157615,ight,NAN,NAN,19.0,37.0,59.0,59.0,76.0
157632,TurboThot,NAN,2.0,10.0,10.0,10.0,10.0,10.0
158003,Mono,NAN,NAN,NAN,NAN,NAN,NAN,10.0
158148,Chewy,3.0,3.0,3.0,3.0,11.0,21.0,21.0
162779,FISA | JoJo,NAN,NAN,NAN,NAN,10.0,10.0,10.0
164047,CG | Firebolt,NAN,NAN,NAN,26.0,26.0,26.0,26.0
170887,Ahung,NAN,NAN,NAN,NAN,1.0,3.0,3.0
171034,Den,NAN,NAN,NAN,NAN,12.0,12.0,15.0
171111,UARK | VentusWK,NAN,NAN,NAN,6.0,6.0,6.0,6.0
173178,LAG,NAN,NAN,NAN,18.0,42.0,109.0,137.0
174790,Mounir,NAN,NAN,NAN,11.0,11.0,11.0,11.0
175324,Dandy,NAN,NAN,NAN,NAN,NAN,NAN,15.0
175490,QoT | Cruelscotty,NAN,NAN,NAN,17.0,34.0,34.0,34.0
176387,Badboi,NAN,NAN,NAN,1.0,1.0,1.0,1.0
178194,foxmcchicken,NAN,NAN,NAN,NAN,NAN,NAN,2.0
182665,Elysian,NAN,NAN,NAN,NAN,NAN,22.0,22.0
183280,WW | Lemonjuices,NAN,NAN,NAN,NAN,22.0,22.0,22.0
183400,Doctor Dank,NAN,3.0,3.0,3.0,3.0,3.0,3.0
183677,Yamasaki,NAN,NAN,NAN,7.0,7.0,7.0,10.0
185618,Captain G,47.0,47.0,47.0,47.0,47.0,47.0,47.0
186967,Bug Juice | Snorlaxative,NAN,NAN,NAN,NAN,NAN,NAN,4.0
205873,Funktrocious,NAN,NAN,NAN,NAN,NAN,NAN,1.0
