SmasherID,SmashTag,NumTMTEntered,NumInBracket,PWeek1,PWeek2,PWeek3,PWeek4,PWeek5,PWeek6,PWeek7,PWeek8
526019.0,CSR | Tezlik,1,0,-2.0,-2.0,-2.0,-2,-1,-2,-2,-2
528737.0,3OutChange,1,0,-2.0,-1.0,-2.0,-2,-2,-2,-2,-2
538935.0,Jangu,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-1
585236.0,306 | Amrak,3,2,-1.0,13.0,5.0,-2,-2,-2,-2,-2
617254.0,N8V,1,0,-1.0,-2.0,-2.0,-2,-2,-2,-2,-2
623333.0,ParkedInTraffic | Commas,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-1,-2
627118.0,Pipe,6,1,-1.0,-1.0,-2.0,-1,17,-1,-1,-2
641180.0,Luppi,2,0,-2.0,-1.0,-2.0,-2,-2,-2,-2,-1
657175.0,Bobakanoosh,2,0,-2.0,-2.0,-2.0,-1,-2,-1,-2,-2
657464.0,CowCowCowCowCow,5,4,-2.0,25.0,17.0,-2,-2,13,-1,17
682345.0,Rive,2,0,-2.0,-2.0,-2.0,-2,-1,-2,-1,-2
694497.0,IMP | Ben,4,4,-2.0,-2.0,-2.0,-2,5,4,4,3
694759.0,snek,3,0,-2.0,-2.0,-2.0,-1,-1,-2,-1,-2
700566.0,olé,1,0,-2.0,-2.0,-2.0,-2,-1,-2,-2,-2
703647.0,LVD | Super,1,0,-2.0,-2.0,-2.0,-2,-1,-2,-2,-2
709843.0,Chem,1,1,13.0,-2.0,-2.0,-2,-2,-2,-2,-2
718293.0,Nico,1,0,-2.0,-1.0,-2.0,-2,-2,-2,-2,-2
735376.0,CVSmashMods | Ripn,1,0,-2.0,-1.0,-2.0,-2,-2,-2,-2,-2
748365.0,ledgefiend,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-1
782984.0,Blanks,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-1,-2
789026.0,Douglas.J.Gov,1,0,-2.0,-2.0,-2.0,-1,-2,-2,-2,-2
843799.0,Snoos,1,0,-2.0,-2.0,-2.0,-2,-2,-1,-2,-2
858866.0,SLO | GrizzlyBair,2,0,-2.0,-2.0,-2.0,-1,-2,-1,-2,-2
862074.0,snacklepackle,3,1,-2.0,-2.0,-2.0,-1,17,-1,-2,-2
865922.0,SRN | Soulrifle211,1,0,-2.0,-2.0,-2.0,-2,-2,-1,-2,-2
885830.0,HorseGirl420,2,0,-2.0,-2.0,-2.0,-2,-1,-1,-2,-2
897815.0,moscow mich,1,0,-2.0,-2.0,-1.0,-2,-2,-2,-2,-2
925369.0,Fishpaste,1,0,-1.0,-2.0,-2.0,-2,-2,-2,-2,-2
927948.0,cliché,6,2,9.0,17.0,-2.0,-1,-1,-1,-1,-2
956568.0,Night,2,0,-2.0,-2.0,-2.0,-2,-2,-1,-1,-2
982735.0,MordecaiPielord,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-1,-2
1007304.0,Phorox,1,0,-2.0,-2.0,-2.0,-2,-2,-1,-2,-2
1044913.0,Majora,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-1
1047164.0,lemon,1,0,-2.0,-2.0,-2.0,-1,-2,-2,-2,-2
1094290.0,SudoJoe,2,0,-2.0,-2.0,-2.0,-2,-1,-2,-2,-1
1099771.0,PP | Droze,1,0,-2.0,-2.0,-2.0,-1,-2,-2,-2,-2
1112770.0,Penguis,2,0,-2.0,-2.0,-2.0,-2,-2,-1,-2,-1
