SmasherID,SmashTag,RWeek1,RWeek2,RWeek3,RWeek4,RWeek5,ChangeInRank
1940641,100 Days Of Solitude,NAN,NAN,NAN,NAN,164.0,NAN
2011811,sucordie,NAN,NAN,NAN,132.0,164.0,-32.0
2021066,Schweppes,NAN,NAN,NAN,160.0,191.0,-31.0
2026451,ASAPferq,NAN,NAN,NAN,160.0,191.0,-31.0
2029721,Ghost Rider,NAN,NAN,NAN,39.0,49.0,-10.0
2031615,420 | Yolk,NAN,NAN,NAN,112.0,135.0,-23.0
2064187,Abhi,NAN,90.0,112.0,176.0,207.0,-31.0
2082068,CarltonDanks,56.0,90.0,112.0,176.0,207.0,-31.0
2085246,kippu,NAN,69.0,79.0,106.0,128.0,-22.0
2111424,flowjam,NAN,NAN,NAN,176.0,207.0,-31.0
2114345,Watermelons,NAN,NAN,NAN,125.0,157.0,-32.0
2114347,adamaggy,NAN,NAN,NAN,106.0,128.0,-22.0
2114773,Raffshot,NAN,NAN,NAN,176.0,207.0,-31.0
2122811,$W@6 | rocketf20,NAN,NAN,NAN,NAN,207.0,NAN
2123726,Sax,NAN,NAN,NAN,NAN,207.0,NAN
